latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
26.4761,-80.6702,310.3,1.2,1.1,2015-07-10,0349,Terra,MODIS,79,6.03,295.4,10.7,N,0
26.5946,-80.4435,304.8,1.3,1.1,2015-07-10,0349,Terra,MODIS,59,6.03,294,6.7,N,0
26.4746,-80.6823,338.4,1.2,1.1,2015-07-10,0349,Terra,MODIS,100,6.03,299.2,52.4,N,0
26.4648,-80.6808,321.5,1.2,1.1,2015-07-10,0349,Terra,MODIS,100,6.03,297.4,23.7,N,0
33.015,-79.8881,305,1.6,1.3,2015-07-10,0350,Terra,MODIS,49,6.03,294.4,7.8,N,2
30.9409,-88.009,303.9,1.2,1.1,2015-07-10,0350,Terra,MODIS,56,6.03,292.7,5,N,2
41.6334,-87.1385,302.9,1,1,2015-07-10,0353,Terra,MODIS,52,6.03,285.7,7.1,N,2
47.7709,-95.9027,311.2,1.4,1.2,2015-07-10,0355,Terra,MODIS,82,6.03,288.8,19,N,0
47.7744,-95.8848,303.2,1.4,1.2,2015-07-10,0355,Terra,MODIS,54,6.03,288.9,10.3,N,0
35.874,-111.9735,305.3,1,1,2015-07-10,0530,Terra,MODIS,64,6.03,286,9.3,N,0
36.0965,-115.0218,317.9,1.3,1.1,2015-07-10,0530,Terra,MODIS,96,6.03,297.4,18.7,N,2
35.621,-114.2624,302.1,1.2,1.1,2015-07-10,0530,Terra,MODIS,46,6.03,292,5.5,N,0
35.6175,-114.2694,307.2,1.2,1.1,2015-07-10,0530,Terra,MODIS,71,6.03,291.9,9.4,N,0
48.9582,-119.8534,409.4,1.2,1.1,2015-07-10,0534,Terra,MODIS,100,6.03,298.5,419.9,N,0
48.9486,-119.8496,317.6,1.2,1.1,2015-07-10,0534,Terra,MODIS,51,6.03,284.9,19.4,N,0
48.6954,-117.0281,301.4,1,1,2015-07-10,0534,Terra,MODIS,41,6.03,290.2,4.6,N,0
48.9613,-119.8368,392.5,1.2,1.1,2015-07-10,0534,Terra,MODIS,100,6.03,294.6,282.5,N,0
48.9709,-119.8407,347.9,1.2,1.1,2015-07-10,0534,Terra,MODIS,97,6.03,286.6,75,N,0
48.9679,-119.8565,354.8,1.2,1.1,2015-07-10,0534,Terra,MODIS,100,6.03,280.1,93.2,N,0
65.0971,-149.074,300.5,1,1,2015-07-10,0717,Terra,MODIS,25,6.03,282.8,6.3,N,0
63.395,-153.6996,301.2,1.1,1.1,2015-07-10,0717,Terra,MODIS,38,6.03,283.2,8.4,N,0
63.399,-153.6784,303.6,1.1,1.1,2015-07-10,0717,Terra,MODIS,46,6.03,284.4,9.8,N,0
65.1319,-148.9657,304.8,1,1,2015-07-10,0717,Terra,MODIS,61,6.03,284.5,8.4,N,0
65.1233,-148.9587,300.5,1,1,2015-07-10,0717,Terra,MODIS,20,6.03,284.1,5.8,N,0
19.4025,-155.2821,434.8,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,302.6,552.2,N,1
19.4039,-155.2724,317,1,1,2015-07-10,0843,Terra,MODIS,94,6.03,290.9,15.9,N,1
19.402,-155.0838,308.3,1,1,2015-07-10,0843,Terra,MODIS,74,6.03,293.7,8.2,N,1
19.4007,-155.0936,354.2,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,303.1,74.9,N,1
19.4137,-155.0656,310.7,1,1,2015-07-10,0843,Terra,MODIS,12,6.03,291.5,9.7,N,1
19.4124,-155.0754,317.9,1,1,2015-07-10,0843,Terra,MODIS,96,6.03,293.8,15.7,N,1
19.411,-155.0852,346,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,300.7,55.4,N,1
19.4097,-155.095,331.9,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,297.8,31.3,N,1
19.4255,-155.0474,304.6,1,1,2015-07-10,0843,Terra,MODIS,15,6.03,287.5,6.1,N,1
19.4241,-155.0572,324.6,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,290.9,23.1,N,1
19.4228,-155.067,340.7,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,295,44.7,N,1
19.4214,-155.0768,352,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,301.6,67.6,N,1
19.4201,-155.0866,361,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,304.8,91.4,N,1
19.4188,-155.0963,312,1,1,2015-07-10,0843,Terra,MODIS,67,6.03,293.4,9.9,N,1
19.4332,-155.0586,325.7,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,293.3,23.7,N,1
19.4319,-155.0684,337.5,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,295,39.8,N,1
19.4305,-155.0782,353.1,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,300,71.4,N,1
19.4292,-155.088,343.8,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,297,52,N,1
19.4115,-155.2835,314.2,1,1,2015-07-10,0843,Terra,MODIS,89,6.03,289.8,13.7,N,1
19.4382,-155.0893,314.9,1,1,2015-07-10,0843,Terra,MODIS,90,6.03,291,13.7,N,1
19.4396,-155.0796,327.9,1,1,2015-07-10,0843,Terra,MODIS,100,6.03,291.7,27.4,N,1
19.3986,-155.3109,300.1,1,1,2015-07-10,0843,Terra,MODIS,18,6.03,287.8,4.4,N,1
19.4012,-155.2917,314.9,1,1,2015-07-10,0843,Terra,MODIS,90,6.03,289.8,13.8,N,1
48.9513,-119.8756,314.3,1.8,1.3,2015-07-10,0941,Aqua,MODIS,33,6.03,276.3,32.4,N,0
48.9728,-119.8471,319.9,1.8,1.3,2015-07-10,0941,Aqua,MODIS,76,6.03,287,44.3,N,0
48.9613,-119.8506,320.4,1.8,1.3,2015-07-10,0941,Aqua,MODIS,82,6.03,280.1,43.4,N,0
32.767,-115.5374,318.2,1.1,1,2015-07-10,0946,Aqua,MODIS,96,6.03,292.9,18.1,N,2
19.4062,-155.0674,309,3.7,1.8,2015-07-10,1129,Aqua,MODIS,31,6.03,290.2,56.3,N,1
19.4224,-155.0661,332.7,3.7,1.8,2015-07-10,1129,Aqua,MODIS,100,6.03,293,210.6,N,1
19.4174,-155.27,314.1,3.9,1.8,2015-07-10,1129,Aqua,MODIS,84,6.03,287.2,102.8,N,1
19.401,-155.2719,310.2,3.9,1.8,2015-07-10,1129,Aqua,MODIS,70,6.03,286.5,80.4,N,1
19.4386,-155.065,321.4,3.7,1.8,2015-07-10,1129,Aqua,MODIS,23,6.03,290.6,116.3,N,1
19.4095,-155.2757,323.6,3.9,1.8,2015-07-10,1129,Aqua,MODIS,100,6.03,286.6,166.1,N,1
19.4094,-155.1011,306.7,3.8,1.8,2015-07-10,1129,Aqua,MODIS,11,6.03,289.5,48.3,N,1
19.4346,-155.0947,308.8,3.8,1.8,2015-07-10,1129,Aqua,MODIS,28,6.03,289.4,57.6,N,1
19.4315,-155.0608,331.4,3.7,1.8,2015-07-10,1129,Aqua,MODIS,100,6.03,292.6,207.1,N,1
19.4184,-155.0959,311,3.8,1.8,2015-07-10,1129,Aqua,MODIS,15,6.03,290,65,N,1
19.4153,-155.0621,319.9,3.7,1.8,2015-07-10,1129,Aqua,MODIS,88,6.03,290.9,113.7,N,1
41.3007,-75.7549,311.1,1.1,1,2015-07-10,1552,Terra,MODIS,27,6.03,292.5,5.9,D,2
40.5561,-73.9137,312.9,1,1,2015-07-10,1552,Terra,MODIS,51,6.03,301.2,8.7,D,3
40.2287,-76.9819,323.4,1.2,1.1,2015-07-10,1552,Terra,MODIS,76,6.03,303.1,15.9,D,2
35.0707,-76.006,313,1,1,2015-07-10,1553,Terra,MODIS,51,6.03,302,7.4,D,3
34.8788,-76.2842,312.7,1,1,2015-07-10,1553,Terra,MODIS,28,6.03,301.3,7.5,D,3
34.9694,-79.4855,323.8,1.4,1.2,2015-07-10,1554,Terra,MODIS,70,6.03,304.6,17.4,D,0
34.6792,-76.6402,313.4,1,1,2015-07-10,1554,Terra,MODIS,58,6.03,302.1,8,D,3
32.6268,-81.3141,324.4,1.6,1.3,2015-07-10,1554,Terra,MODIS,74,6.03,299.4,28.3,D,0
32.6255,-81.3081,324.4,1.6,1.3,2015-07-10,1554,Terra,MODIS,76,6.03,299.2,29.6,D,0
33.1718,-81.5275,322,1.7,1.3,2015-07-10,1554,Terra,MODIS,72,6.03,300.5,24.5,D,0
33.1736,-81.5459,344.9,1.7,1.3,2015-07-10,1554,Terra,MODIS,92,6.03,301.5,97.4,D,0
33.562,-81.3508,341.1,1.7,1.3,2015-07-10,1554,Terra,MODIS,90,6.03,303.8,74.9,D,0
33.5638,-81.3688,335.3,1.7,1.3,2015-07-10,1554,Terra,MODIS,86,6.03,304.7,54.3,D,0
34.959,-79.4872,318.3,1.4,1.2,2015-07-10,1554,Terra,MODIS,21,6.03,302.8,8.5,D,0
34.6851,-76.8946,310.9,1.1,1,2015-07-10,1554,Terra,MODIS,45,6.03,300.7,6.8,D,3
30.166,-83.2607,318.9,2.1,1.4,2015-07-10,1555,Terra,MODIS,59,6.03,296.4,22.8,D,0
30.1648,-83.268,314.1,2.1,1.4,2015-07-10,1555,Terra,MODIS,37,6.03,296.7,13.2,D,0
30.1627,-83.2468,317.5,2,1.4,2015-07-10,1555,Terra,MODIS,60,6.03,295.8,20.6,D,0
28.0282,-80.9453,336.9,1.4,1.2,2015-07-10,1555,Terra,MODIS,86,6.03,301.1,44.7,D,0
28.0266,-80.9316,341.4,1.4,1.2,2015-07-10,1555,Terra,MODIS,90,6.03,300.6,55.5,D,0
28.02,-80.9388,319.1,1.4,1.2,2015-07-10,1555,Terra,MODIS,50,6.03,299.6,10.7,D,0
27.9926,-81.1544,327.8,1.4,1.2,2015-07-10,1555,Terra,MODIS,77,6.03,297.8,28.9,D,0
31.6228,-82.5224,315.3,1.9,1.3,2015-07-10,1555,Terra,MODIS,61,6.03,295.4,14.2,D,0
31.6247,-82.5424,316.8,1.9,1.4,2015-07-10,1555,Terra,MODIS,65,6.03,295.7,18,D,0
31.0886,-83.3069,340.5,2.1,1.4,2015-07-10,1555,Terra,MODIS,90,6.03,295.5,110.4,D,0
31.0888,-83.314,333.4,2.1,1.4,2015-07-10,1555,Terra,MODIS,85,6.03,295.8,77.1,D,0
30.7129,-83.5877,314.1,2.2,1.4,2015-07-10,1555,Terra,MODIS,59,6.03,295.2,17.2,D,0
30.2324,-82.0486,324.5,1.7,1.3,2015-07-10,1555,Terra,MODIS,70,6.03,300.6,26.2,D,0
30.2239,-82.0566,318,1.7,1.3,2015-07-10,1555,Terra,MODIS,35,6.03,299.7,14.3,D,0
30.2221,-82.0391,319.5,1.7,1.3,2015-07-10,1555,Terra,MODIS,62,6.03,298.9,16.4,D,0
26.7713,-81.9679,319.9,1.5,1.2,2015-07-10,1556,Terra,MODIS,45,6.03,301.4,14.5,D,0
27.5996,-81.5187,328.9,1.5,1.2,2015-07-10,1556,Terra,MODIS,74,6.03,302.4,26.8,D,0
26.8473,-80.5875,331.3,1.3,1.1,2015-07-10,1556,Terra,MODIS,81,6.03,308.9,31.5,D,0
26.8075,-80.5934,325,1.3,1.1,2015-07-10,1556,Terra,MODIS,56,6.03,305.1,20.4,D,0
26.914,-81.8141,321.4,1.5,1.2,2015-07-10,1556,Terra,MODIS,67,6.03,301.2,16.9,D,0
26.905,-81.8304,317.2,1.5,1.2,2015-07-10,1556,Terra,MODIS,39,6.03,300.6,10.4,D,0
26.9033,-81.8156,328,1.5,1.2,2015-07-10,1556,Terra,MODIS,77,6.03,301.5,29.8,D,0
26.7751,-81.976,324.6,1.5,1.2,2015-07-10,1556,Terra,MODIS,73,6.03,300.8,25.7,D,0
26.5852,-80.438,336.2,1.2,1.1,2015-07-10,1556,Terra,MODIS,86,6.03,299.2,38.3,D,0
26.5831,-80.4326,334.1,1.2,1.1,2015-07-10,1556,Terra,MODIS,84,6.03,297.1,35.4,D,0
26.4723,-80.6812,356.7,1.3,1.1,2015-07-10,1556,Terra,MODIS,98,6.03,307.6,94.6,D,0
44.8996,-91.863,315.3,1.3,1.1,2015-07-10,1729,Terra,MODIS,57,6.03,301.2,11.5,D,0
45.0977,-84.0197,309.8,3.3,1.7,2015-07-10,1729,Terra,MODIS,61,6.03,289.1,38.4,D,0
44.0851,-93.2507,312.6,1.2,1.1,2015-07-10,1730,Terra,MODIS,38,6.03,297.6,7.1,D,0
41.058,-76.239,305.5,2.7,1.6,2015-07-10,1732,Aqua,MODIS,38,6.03,289.1,16,D,2
35.7024,-90.1071,316.4,2.8,1.6,2015-07-10,1732,Terra,MODIS,70,6.03,296.1,34.6,D,0
33.5517,-94.6042,312.8,1.6,1.3,2015-07-10,1732,Terra,MODIS,58,6.03,300,11.3,D,0
35.6993,-90.1151,312.4,2.8,1.6,2015-07-10,1732,Terra,MODIS,62,6.03,296,20.7,D,0
32.1667,-93.204,341,2.1,1.4,2015-07-10,1733,Terra,MODIS,91,6.03,297.7,118.9,D,0
32.1791,-93.2005,328.1,2.1,1.4,2015-07-10,1733,Terra,MODIS,82,6.03,295.5,64,D,0
32.1668,-93.1985,336.3,2.1,1.4,2015-07-10,1733,Terra,MODIS,88,6.03,297.6,93.6,D,0
